SEP=;
active;ref.owner_id;ref.report_id;ref.state;ref.version;report.additional_notes;report.condition.abandoned_body_pits;report.condition.abandoned_egg_cavities;report.condition.accretion.0.storm_name;report.condition.accretion.0.timestamp_ms;report.condition.actively_record_events;report.condition.additional_hatch_timestamp_ms;report.condition.describe_control_methods;report.condition.disorientation;report.condition.eggs_damaged_by_another_turtle;report.condition.eggs_scattered_by_another;report.condition.eggs_scattered_by_another_timestamp_ms;report.condition.ghost_damage_10_or_less;report.condition.hatch_timestamp_ms;report.condition.inundated_event.0.storm_name;report.condition.inundated_event.0.timestamp_ms;report.condition.inundated_event.1.storm_name;report.condition.inundated_event.1.timestamp_ms;report.condition.inundated_event.2.storm_name;report.condition.inundated_event.2.timestamp_ms;report.condition.nest_depredated;report.condition.nest_dug_into;report.condition.nest_inundated;report.condition.nest_inundated_timestamp_ms;report.condition.no_digging;report.condition.partial_washout.storm_name;report.condition.partial_washout.timestamp_ms;report.condition.poached;report.condition.poached_eggs_removed;report.condition.poached_timestamp_ms;report.condition.post_hatch_washout;report.condition.preditation.0.number_of_eggs;report.condition.preditation.0.predator;report.condition.preditation.0.predator_spinner_text;report.condition.preditation.0.timestamp_ms;report.condition.prop_events_recorded;report.condition.roots_invaded_eggshells;report.condition.storm_impact.other_impact;report.condition.storm_impact.storm_name;report.condition.storm_impact.timestamp_ms;report.condition.vandalism_type;report.condition.vandalized;report.condition.vandalized_timestamp_ms;report.condition.wash_out.storm_name;report.condition.wash_out.timestamp_ms;report.condition.wash_over.0.storm_name;report.condition.wash_over.0.timestamp_ms;report.condition.wash_over.1.storm_name;report.condition.wash_over.1.timestamp_ms;report.condition.wash_over.10.storm_name;report.condition.wash_over.10.timestamp_ms;report.condition.wash_over.2.storm_name;report.condition.wash_over.2.timestamp_ms;report.condition.wash_over.3.storm_name;report.condition.wash_over.3.timestamp_ms;report.condition.wash_over.4.storm_name;report.condition.wash_over.4.timestamp_ms;report.condition.wash_over.5.storm_name;report.condition.wash_over.5.timestamp_ms;report.condition.wash_over.6.storm_name;report.condition.wash_over.6.timestamp_ms;report.condition.wash_over.7.storm_name;report.condition.wash_over.7.timestamp_ms;report.condition.wash_over.8.storm_name;report.condition.wash_over.8.timestamp_ms;report.condition.wash_over.9.storm_name;report.condition.wash_over.9.timestamp_ms;report.false_crawl_number;report.image.1;report.image.2;report.image.3;report.image.4;report.image.5;report.image.6;report.image.7;report.image.8;report.intervention.adopted;report.intervention.adoptee;report.intervention.excavation.dead_in_nest;report.intervention.excavation.dead_pipped;report.intervention.excavation.eggs_destroyed;report.intervention.excavation.excavated;report.intervention.excavation.failure_other;report.intervention.excavation.failure_reason;report.intervention.excavation.hatched_shells;report.intervention.excavation.live_in_nest;report.intervention.excavation.live_pipped;report.intervention.excavation.timestamp_ms;report.intervention.excavation.whole_unhatched;report.intervention.protection_event.reason;report.intervention.protection_event.timestamp_ms;report.intervention.protection_event.type;report.intervention.relocation.coordinates.lat;report.intervention.relocation.coordinates.long;report.intervention.relocation.eggs_destroyed;report.intervention.relocation.eggs_relocated;report.intervention.relocation.new_address;report.intervention.relocation.reason;report.intervention.relocation.timestamp_ms;report.intervention.relocation.was_relocated;report.location.apex_to_barrier_ft;report.location.apex_to_barrier_in;report.location.city;report.location.coordinates.lat;report.location.coordinates.long;report.location.details;report.location.escarpment_over_18_inches;report.location.in_cortez_groin_replacement_area;report.location.obstructions.escarpment;report.location.obstructions.furniture;report.location.obstructions.other;report.location.obstructions.seawall_rocks;report.location.placement;report.location.section;report.location.street_address;report.location.triangulation.north.lat;report.location.triangulation.north.long;report.location.triangulation.north_ft;report.location.triangulation.north_in;report.location.triangulation.south.lat;report.location.triangulation.south.long;report.location.triangulation.south_ft;report.location.triangulation.south_in;report.location.water_to_apex_ft;report.location.water_to_apex_in;report.nest_number;report.nest_seaward_of_armoring_structure;report.observers;report.possible_false_crawl;report.possible_false_crawl_number;report.species;report.species_other;report.status;report.timestamp_found_ms;report.type_of_structure;report.within_3_feet_of_structure
NO;section2@islandturtlewatch.com;288;ACTIVE;4;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;49;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;120;0;AM;27.53694981;-82.74659089;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;787 North Shore ;0.0;0.0;0;0;0.0;0.0;0;0;35;0;0;NO;kelly;NO;0;LOGGERHEAD;;FALSE_CRAWL;1466308800000;;NO
NO;section2@islandturtlewatch.com;289;ACTIVE;4;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;1471838400000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;NO;;0;0;0;YES;;UNSET_REASON;89;0;0;1472097600000;3;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;5;0;AM;27.53899253;-82.74261376;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;835 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;25;0;56;NO;Kelly;NO;0;LOGGERHEAD;;NEST_NOT_VERIFIED;1466308800000;;NO
NO;section2@islandturtlewatch.com;290;ACTIVE;2;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;51;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53868556;-82.74115372;;NO;NO;NO;NO;;NO;AT_VEGITATION;0;853 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;10;0;0;NO;Susan;NO;0;LOGGERHEAD;;FALSE_CRAWL;1466395200000;;NO
NO;section2@islandturtlewatch.com;291;ACTIVE;2;;YES;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;3;0;AM;27.53891711;-82.74184945;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;845 North shore;0.0;0.0;0;0;0.0;0.0;0;0;12;0;0;NO;Susan;NO;0;LOGGERHEAD;;FALSE_CRAWL;1466395200000;;NO
NO;section2@islandturtlewatch.com;292;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53903858;-82.74235162;;NO;NO;NO;NO;;NO;IN_VEGITATION;0;839 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;15;0;0;NO;Susan;NO;0;LOGGERHEAD;;FALSE_CRAWL;1466395200000;;NO
NO;section2@islandturtlewatch.com;293;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;54;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;30;0;AM;27.53877468;-82.74126301;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;851 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;5;0;0;NO;Jill;NO;0;LOGGERHEAD;;FALSE_CRAWL;1466481600000;;NO
NO;section2@islandturtlewatch.com;294;ACTIVE;6;;NO;NO;;;YES;1471147200000;;NO;NO;NO;0;YES;1471060800000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/294/fdaff799-6fdb-4c68-b4d2-dfb3e92b6065.jpg;;;;;;;;NO;;3;1;0;YES;;UNSET_REASON;75;0;0;1471320000000;17;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53902022;-82.74217391;;NO;NO;NO;NO;;NO;AT_VEGITATION;0;847 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;25;0;23;NO;Jill;NO;0;LOGGERHEAD;;NEST_VERIFIED;1466481600000;;NO
NO;section2@islandturtlewatch.com;295;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;1;0;AM;27.53902636;-82.74206242;;NO;NO;NO;NO;;YES;AT_VEGITATION;0;841 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;20;0;0;NO;Jill;NO;0;LOGGERHEAD;;FALSE_CRAWL;1466481600000;;NO
NO;section2@islandturtlewatch.com;296;ACTIVE;2;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;56;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;30;0;AM;27.52649797;-82.73903729;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;109 Sycamore;0.0;0.0;0;0;0.0;0.0;0;0;45;0;0;NO;Johm;NO;0;LOGGERHEAD;;FALSE_CRAWL;1466568000000;;NO
NO;section2@islandturtlewatch.com;297;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;30;0;AM;27.5263922;-82.73891975;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;109 Sycamore;0.0;0.0;0;0;0.0;0.0;0;0;45;0;0;NO;Bill;NO;0;LOGGERHEAD;;FALSE_CRAWL;1466654400000;;NO
NO;section2@islandturtlewatch.com;298;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;58;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53010123;-82.74211062;;NO;NO;NO;NO;;NO;IN_VEGITATION;0;713 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;60;0;0;NO;Bill;NO;0;LOGGERHEAD;;FALSE_CRAWL;1466654400000;;NO
NO;section2@islandturtlewatch.com;299;ACTIVE;5;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;1471924800000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/299/374a03ab-3b3f-4515-b909-c674408a1ebd.jpg;;;;;;;;NO;;1;2;0;YES;;UNSET_REASON;67;3;0;1472184000000;74;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;25;0;AM;27.53885159;-82.74466805;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;809 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;25;0;24;NO;Bill;NO;0;LOGGERHEAD;;NEST_VERIFIED;1466654400000;;NO
NO;section2@islandturtlewatch.com;300;ACTIVE;2;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;59;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;80;0;AM;27.53746407;-82.7468647;;NO;NO;NO;NO;;NO;IN_VEGITATION;0;807 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;10;0;0;YES;Bill;NO;0;LOGGERHEAD;;FALSE_CRAWL;1466654400000;;NO
NO;section2@islandturtlewatch.com;301;ACTIVE;6;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;1472616000000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/301/ceb51cb1-c79a-45cf-84d6-aa52e3fec7ae.jpg;;;;;;;;NO;;0;0;0;YES;;UNSET_REASON;92;1;0;1472616000000;2;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53874133;-82.7447733;;NO;NO;NO;NO;;NO;IN_VEGITATION;0;827 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;60;0;25;NO;John;NO;0;LOGGERHEAD;;NEST_VERIFIED;1466740800000;;NO
NO;section2@islandturtlewatch.com;302;ACTIVE;4;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;75;0;AM;27.53660938;-82.74645765;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;109 Seagape;0.0;0.0;0;0;0.0;0.0;0;0;5;0;0;NO;Mary;NO;0;LOGGERHEAD;;FALSE_CRAWL;1467000000000;;NO
NO;section2@islandturtlewatch.com;303;ACTIVE;1;;YES;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;61;http://1-dot-static-sentinel-567.appspot.com/web/image/303/c8829de6-03e2-45e5-bd7d-04fcc88b8067.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/303/77610013-d50a-49ed-ab02-0345a46c0ad2.jpg;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53909056;-82.74327051;;NO;NO;NO;NO;;NO;AT_ESCARPMENT;0;829 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;35;0;0;NO;Jill;NO;0;LOGGERHEAD;;FALSE_CRAWL;1467086400000;;NO
NO;section2@islandturtlewatch.com;304;ACTIVE;4;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;62;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.52955047;-82.7417532;;NO;NO;NO;NO;;NO;IN_VEGITATION;0;208 Cypress;0.0;0.0;0;0;0.0;0.0;0;0;15;0;0;NO;John;NO;0;LOGGERHEAD;;FALSE_CRAWL;1467172800000;;NO
NO;section2@islandturtlewatch.com;305;ACTIVE;2;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;63;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;2;0;AM;27.53070892;-82.74266624;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;725 north shore;0.0;0.0;0;0;0.0;0.0;0;0;25;0;0;NO;john;NO;0;LOGGERHEAD;;FALSE_CRAWL;1467172800000;;NO
NO;section2@islandturtlewatch.com;306;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;64;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;30;0;AM;27.53095343;-82.74280302;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;727 north Shore;0.0;0.0;0;0;0.0;0.0;0;0;7;0;0;NO;John;NO;0;LOGGERHEAD;;FALSE_CRAWL;1467172800000;;NO
NO;section2@islandturtlewatch.com;307;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;65;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;95;0;AM;27.53713752;-82.74655818;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;811 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;35;0;0;NO;John;NO;0;LOGGERHEAD;;FALSE_CRAWL;1467172800000;;NO
NO;section2@islandturtlewatch.com;308;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;66;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53150026;-82.74344292;;NO;NO;NO;NO;;NO;IN_VEGITATION;0;109 Seagrape;0.0;0.0;0;0;0.0;0.0;0;0;62;0;0;NO;Bill;NO;0;LOGGERHEAD;;FALSE_CRAWL;1467259200000;;NO
NO;section2@islandturtlewatch.com;309;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;67;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;35;0;AM;27.53148155;-82.74344117;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;715 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;7;0;0;NO;Bill;NO;0;LOGGERHEAD;;FALSE_CRAWL;1467259200000;;NO
NO;section2@islandturtlewatch.com;310;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;68;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;75;0;AM;27.53338256;-82.74468012;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;769 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;5;0;0;NO;Bill;NO;0;LOGGERHEAD;;FALSE_CRAWL;1467259200000;;NO
NO;section2@islandturtlewatch.com;311;ACTIVE;3;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;1472443200000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/311/abe47eed-8ebf-47f6-80f5-3a21dd5635e7.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/311/c836124b-e9e0-4d7f-b178-e258cfcbd6ca.jpg;;;;;;;NO;;0;0;0;YES;;UNSET_REASON;73;1;0;1472616000000;1;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53904687;-82.74322857;;NO;NO;NO;NO;;NO;AT_VEGITATION;0;825 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;45;0;26;NO;Bil;NO;0;LOGGERHEAD;;NEST_VERIFIED;1467259200000;;NO
NO;section2@islandturtlewatch.com;312;ACTIVE;4;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;1472097600000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/312/64b585f5-cf26-420c-b6c9-6d6e6d35dd96.jpg;;;;;;;;NO;;0;0;0;YES;;UNSET_REASON;107;1;0;1472616000000;5;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53885382;-82.74467676;;NO;NO;NO;NO;;NO;AT_VEGITATION;0;809 Nortb  Shote;0.0;0.0;0;0;0.0;0.0;0;0;45;0;27;NO;Bill;NO;0;LOGGERHEAD;;NEST_VERIFIED;1467259200000;;NO
NO;section2@islandturtlewatch.com;313;ACTIVE;6;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;1472097600000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;NO;;24;0;0;YES;;UNSET_REASON;32;0;0;1472616000000;52;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53170161;-82.74327766;;NO;NO;NO;NO;;NO;AT_VEGITATION;0;109Seagrape;0.0;0.0;0;0;0.0;0.0;0;0;35;0;28;NO;Bill;NO;0;LOGGERHEAD;;NEST_VERIFIED;1467259200000;;NO
NO;section2@islandturtlewatch.com;314;ACTIVE;3;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;1472011200000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/314/9feac8f7-9592-4900-b8be-ba09652cb6bb.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/314/8d7b6e35-1746-410e-b8ef-20fe3c8cd670.jpg;;;;;;;NO;;0;1;0;YES;;UNSET_REASON;89;1;0;1472270400000;28;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.52880307;-82.74105522;;NO;NO;NO;NO;;NO;AT_VEGITATION;0;201 Spruce;0.0;0.0;0;0;0.0;0.0;0;0;40;0;29;NO;Bill;NO;0;LOGGERHEAD;;NEST_VERIFIED;1467259200000;;NO
NO;section2@islandturtlewatch.com;315;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;YES;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;69;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;150;0;AM;27.53507542;-82.74605669;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;793 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;15;0;0;NO;Bev;NO;0;LOGGERHEAD;;FALSE_CRAWL;1467345600000;;NO
NO;section2@islandturtlewatch.com;316;ACTIVE;1;;YES;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;70;http://1-dot-static-sentinel-567.appspot.com/web/image/316/7f733142-2f9f-4778-8b21-5cec7ca7093b.jpg;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53884006;-82.74154594;;NO;NO;NO;NO;;NO;AT_VEGITATION;0;843 North Shore;0.0;0.0;0;0;0.0;0.0;0;0;15;0;0;NO;Bev;NO;0;LOGGERHEAD;;FALSE_CRAWL;1467345600000;;NO
NO;section2@islandturtlewatch.com;317;ACTIVE;5;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;1471924800000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/317/f461f0e5-7138-42ee-8054-4e432fe7ea7d.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/317/9dfc6386-fcea-4e38-89ef-68cffd0c74e6.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/317/0e2cc1e7-80d8-440f-a966-a6bfe55ea7c7.jpg;;;;;;NO;;0;0;0;YES;;UNSET_REASON;108;0;0;1472184000000;8;UNSET_REASON;0;UNSET_TYPE;27.53165719;-82.74321776;128;128;109 Seagrape;HIGH_WATER;1467345600000;YES;0;0;AM;27.53166182;-82.7433202;;NO;NO;NO;NO;;NO;AT_ESCARPMENT;0;109 Seagrape;0.0;0.0;0;0;0.0;0.0;0;0;5;0;31;NO;Bev;NO;0;LOGGERHEAD;;NEST_VERIFIED;1467345600000;;NO
